route,surface,tier,viewport,controls,disabledControls,links,headings,h1,textCharacters,cards,canvases,images,smallText,tinyTouchTargets,emptyStates,errorMarkers,loadingMarkers,scrollHeight,consoleErrors,screenshot
/glow,Glow,B,desktop-1920x1080,93,14,0,H1>H2>H2>H2>H2>H2>H2>H1>H2>H2>H2>H2,2,7682,21,2,2,64,62,0,0,0,1080,0,proof/v9-current-ui/glow-desktop-1920x1080.png
/glow,Glow,B,mobile-390x844,71,14,0,H1>H2>H2>H2>H2>H2>H1>H2>H2>H2>H2,2,6499,15,2,3,50,19,0,0,0,844,0,proof/v9-current-ui/glow-mobile-390x844.png
/notifications,Notifications,C,desktop-1920x1080,103,14,0,H1>H2>H2>H2>H2>H2>H2>H1>H2>H2>H2,2,5895,20,2,2,55,62,0,0,0,1080,0,proof/v9-current-ui/notifications-desktop-1920x1080.png
/notifications,Notifications,C,mobile-390x844,81,14,0,H1>H2>H2>H2>H2>H2>H1>H2>H2>H2,2,4712,14,2,3,41,19,0,0,0,844,0,proof/v9-current-ui/notifications-mobile-390x844.png
/settings,Settings,C,desktop-1920x1080,101,16,0,H1>H2>H2>H2>H2>H2>H2>H1>H2>H2>H2>H2>H2,2,6962,22,2,2,57,65,0,1,0,1080,0,proof/v9-current-ui/settings-desktop-1920x1080.png
/settings,Settings,C,mobile-390x844,79,16,0,H1>H2>H2>H2>H2>H2>H1>H2>H2>H2>H2>H2,2,5779,16,2,3,43,22,0,1,0,844,0,proof/v9-current-ui/settings-mobile-390x844.png
/universe/omega,Omega,B,desktop-1920x1080,104,14,0,H1>H2>H2>H2>H2>H2>H2>H1>H2>H2>H2>H2>H2,2,7894,22,2,2,74,62,0,0,0,1080,0,proof/v9-current-ui/omega-desktop-1920x1080.png
/universe/omega,Omega,B,mobile-390x844,82,14,0,H1>H2>H2>H2>H2>H2>H1>H2>H2>H2>H2>H2,2,6711,16,2,3,60,19,0,0,0,844,0,proof/v9-current-ui/omega-mobile-390x844.png
/universe/omega/review,Omega review,B,desktop-1920x1080,135,14,0,H1>H2>H2>H2>H2>H2>H2>H1>H2,2,11614,18,2,2,75,62,0,0,0,1080,0,proof/v9-current-ui/omega-review-desktop-1920x1080.png
/universe/omega/review,Omega review,B,mobile-390x844,113,14,0,H1>H2>H2>H2>H2>H2>H1>H2,2,10431,12,2,3,61,19,0,0,0,844,0,proof/v9-current-ui/omega-review-mobile-390x844.png
