route,surface,tier,viewport,controls,disabledControls,links,headings,h1,textCharacters,cards,canvases,images,smallText,tinyTouchTargets,emptyStates,errorMarkers,loadingMarkers,scrollHeight,consoleErrors,screenshot
/glow,Glow,B,desktop-1920x1080,92,14,0,H1>H2>H2>H2>H2>H2>H2>H1>H2>H2>H2>H2,2,7389,21,2,1,63,62,0,0,0,1080,0,proof/v9-current-ui/glow-desktop-1920x1080.png
/glow,Glow,B,mobile-390x844,71,14,0,H1>H2>H2>H2>H2>H2>H1>H2>H2>H2>H2,2,6210,15,2,1,49,20,0,0,0,844,0,proof/v9-current-ui/glow-mobile-390x844.png
/notifications,Notifications,C,desktop-1920x1080,102,14,0,H1>H2>H2>H2>H2>H2>H2>H1>H2>H2>H2,2,5965,20,2,1,55,62,0,0,0,1080,0,proof/v9-current-ui/notifications-desktop-1920x1080.png
/notifications,Notifications,C,mobile-390x844,81,14,0,H1>H2>H2>H2>H2>H2>H1>H2>H2>H2,2,4786,14,2,1,41,20,0,0,0,844,0,proof/v9-current-ui/notifications-mobile-390x844.png
/settings,Settings,C,desktop-1920x1080,100,16,0,H1>H2>H2>H2>H2>H2>H2>H1>H2>H2>H2>H2>H2,2,7037,22,2,1,57,65,0,1,0,1080,0,proof/v9-current-ui/settings-desktop-1920x1080.png
/settings,Settings,C,mobile-390x844,79,16,0,H1>H2>H2>H2>H2>H2>H1>H2>H2>H2>H2>H2,2,5858,16,2,1,43,23,0,1,0,844,0,proof/v9-current-ui/settings-mobile-390x844.png
/universe/omega,Omega,B,desktop-1920x1080,100,14,0,H1>H2>H2>H2>H2>H2>H2>H1>H2>H2>H2>H2>H2,2,6777,22,2,1,66,62,0,0,0,1080,0,proof/v9-current-ui/omega-desktop-1920x1080.png
/universe/omega,Omega,B,mobile-390x844,79,14,0,H1>H2>H2>H2>H2>H2>H1>H2>H2>H2>H2>H2,2,5598,16,2,1,52,20,0,0,0,844,0,proof/v9-current-ui/omega-mobile-390x844.png
/universe/omega/review,Omega review,B,desktop-1920x1080,94,14,0,H1>H2>H2>H2>H2>H2>H2>H1>H2,2,5782,18,2,1,55,62,0,0,0,1080,0,proof/v9-current-ui/omega-review-desktop-1920x1080.png
/universe/omega/review,Omega review,B,mobile-390x844,73,14,0,H1>H2>H2>H2>H2>H2>H1>H2,2,4603,12,2,1,41,20,0,0,0,844,0,proof/v9-current-ui/omega-review-mobile-390x844.png
