method,path,name,classification,authentication,csrf,trusted_origin,machine_guard,dependencies,allowlist_reason,compliant
GET,/api/v1/research-drafts,list_research,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/research-drafts,stage_research,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
POST,/api/v1/research-drafts/{draft_id}/convert,convert_research,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/research/briefs,list_research_briefs,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/research/briefs,create_research_brief,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
PATCH,/api/v1/research/briefs/{brief_id},patch_research_brief,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
POST,/api/v1/research/briefs/{brief_id}/convert,convert_research_brief,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/research/claims,list_research_claims,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/research/claims,create_research_claim,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
POST,/api/v1/research/claims/{claim_id}/corrections,correct_research_claim,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/research/jobs,list_research_jobs,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/research/jobs,create_research_job,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
POST,/api/v1/research/jobs/{job_id}/cancel,cancel_research_job,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
POST,/api/v1/research/jobs/{job_id}/complete,complete_research_job,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/research/source-notes,list_research_source_notes,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/research/source-notes,create_research_source_note,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/research/sources,list_research_sources,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
