logical_path,current_git,01-NUR-INTEGRATION-20260722,02-NUR-WT-BACKEND,03-NUR-G10-G15,04-NUR-FABLE-ROOT,05-NUR-FABLE-CONTROL-MATRIX,06-NUR-LIVE-TALK-PROOF,07-NUR-DEMO-TALK-FIXED,08-NUR-DEMO-COUSIN,09-NUR-OLDER-LOCAL,10-NUR-DOWNLOADS-SOURCE,n_snapshots,n_distinct_versions,verdict
START_NUR.sh,19b1d5346f39,19b1d5346f39,19b1d5346f39,8a9af509391b,8a9af509391b,19b1d5346f39,19b1d5346f39,19b1d5346f39,19b1d5346f39,-,-,8,2,CURRENT_MATCHES_SOME_ARCHIVE
api/.env,ABSENT,-,-,-,-,-,-,-,-,6531bc0efbdf,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/.env.example,ABSENT,-,-,-,-,-,-,-,-,86dc5e679e36,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/Dockerfile,ABSENT,-,-,-,-,-,-,-,-,16a835afb74a,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/__init__.py,ABSENT,-,-,-,-,-,-,-,-,d9187d1b9343,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/config.py,ABSENT,-,-,-,-,-,-,-,-,59683cccbb67,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/core/logging.py,ABSENT,-,-,-,-,-,-,-,-,8473288ac5ab,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/db/session.py,ABSENT,-,-,-,-,-,-,-,-,1d4623e14e4d,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/main.py,ABSENT,-,-,-,-,-,-,-,-,571534ec2044,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/models/entities.py,ABSENT,-,-,-,-,-,-,-,-,585c332e0409,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/models/enums.py,ABSENT,-,-,-,-,-,-,-,-,8e68cd002dfd,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/models/schemas.py,ABSENT,-,-,-,-,-,-,-,-,0d8d98e7bf3b,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/prompts/nur.py,ABSENT,-,-,-,-,-,-,-,-,13192cb0c289,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/prompts/nur_voice.py,ABSENT,-,-,-,-,-,-,-,-,b48fc7e96e35,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/routes/api.py,ABSENT,-,-,-,-,-,-,-,-,626292652ed8,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/services/age_service.py,ABSENT,-,-,-,-,-,-,-,-,d4c033ab2fe0,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/services/llm_service.py,ABSENT,-,-,-,-,-,-,-,-,268ad3d543d2,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/services/moderation_service.py,ABSENT,-,-,-,-,-,-,-,-,48dc003f324a,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/services/openai_stream.py,ABSENT,-,-,-,-,-,-,-,-,9c4aed502633,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/services/rate_limit.py,ABSENT,-,-,-,-,-,-,-,-,36e3447cbca7,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/services/reflections.py,ABSENT,-,-,-,-,-,-,-,-,b2e7f547b655,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/services/reminder_service.py,ABSENT,-,-,-,-,-,-,-,-,a7d000f9ef93,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/services/safety.py,ABSENT,-,-,-,-,-,-,-,-,787db0ae9f41,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/services/safety_service.py,ABSENT,-,-,-,-,-,-,-,-,687c0e300d60,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/conftest.py,ABSENT,-,-,-,-,-,-,-,-,8048d33f0425,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/test_age_modes.py,ABSENT,-,-,-,-,-,-,-,-,92aa3b868bd7,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/test_api.py,ABSENT,-,-,-,-,-,-,-,-,2cc53ae92f1b,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/test_chat_contract.py,ABSENT,-,-,-,-,-,-,-,-,552ba0b91a72,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/test_checkins.py,ABSENT,-,-,-,-,-,-,-,-,217dd37ac84a,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/test_galaxy_events.py,ABSENT,-,-,-,-,-,-,-,-,94b3ed02a318,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/test_journal.py,ABSENT,-,-,-,-,-,-,-,-,617c5a953214,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/test_llm_service.py,ABSENT,-,-,-,-,-,-,-,-,c85af0d182a4,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/test_memory_consent.py,ABSENT,-,-,-,-,-,-,-,-,c29a38816311,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/test_nur.sqlite3,ABSENT,-,-,-,-,-,-,-,-,74a7db17bff2,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/test_observability.py,ABSENT,-,-,-,-,-,-,-,-,016286d4f699,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/test_privacy_deletion.py,ABSENT,-,-,-,-,-,-,-,-,038070b9515c,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/test_rate_limits.py,ABSENT,-,-,-,-,-,-,-,-,767d34debd9c,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/test_reminders.py,ABSENT,-,-,-,-,-,-,-,-,e486e9aa681d,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/test_safety_service.py,ABSENT,-,-,-,-,-,-,-,-,fbfc658a3b58,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/test_security_boundaries.py,ABSENT,-,-,-,-,-,-,-,-,c58e206660e2,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/test_tasks.py,ABSENT,-,-,-,-,-,-,-,-,69bdd16ecc96,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/test_trusted_contacts_and_safety_audit.py,ABSENT,-,-,-,-,-,-,-,-,e5c146f85a6f,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
